"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName";"CF_MPN";"CF_Verfügbarkeit";"CF_Versandkosteninfo";"CF_Store-ID";"CF_Provisionsgruppe"
"137351";"Nomad Kevlar Kabel, USB-C auf Lightning, 3 m, schwarz";"Kaum ein Kabel hält Alltagsbelastungen wie Ein- und Ausstöpseln, Aufrollen oder Verknoten dauerhaft stand. Das Kevlar Kabel aus dem Hause Nomad bildet jedoch eine willkommene Ausnahme. Auch bei intensivem Gebrauch Ihres iPhones, iPads oder MacBooks trotzt das Nomad Kevlar den üblichen Verschleißerscheinungen. USB-C-Ladekabel aus Kevlar Metalllegierte Anschlussstecker Integrierter Kabelbinder Zugelassen für Apple-Produkte Kevlar der Name ist Programm Kevlar ist ein Material eine besonders";"45.99 EUR";"https://www.gravis.de/p/1/nomad-kevlar-usb-c-kabel-fuer-iphone-ipad-3-m-ummantelung-schwarz_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Zubehoer/fuer-Apple-iPhone/Kabel-fuer-iPhone/Nomad-Kevlar-Kabel-USB-C-auf-Lightning-3-m-Ummantelung-schwarz-137351.html?campaign=standard";16971149;"Zubehör > für Apple iPhone > Kabel für iPhone";"NM01A11000";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000 400050";"Zubehör"
"136285";"Tonies Hörfigur, Kleiner Eisbär, Lars, lass mich nicht allein, für Toniebox";"Tonies revolutioniert das Hörspiel und bringt mit jeder neuen Hörfigur eine neue tolle Geschichte, Lieder zum Mitsingen, klassische Märchen oder spannende Wissensthemen ins Kinderzimmer. Einfach die Tonie Figur Kleiner Eisbär auf die vorhandene Toniebox stellen und loshören. Hörspiel-Tonie Kleiner Eisbär Erfordert eine Toniebox Figur für Kinder ab 4 Jahren Hörspiele zum AnfassenTonies ist ein Audiosystem für Kinder, das Geschichten und Lieder anfassbar macht. Das Herzstück des Systems ist die";"14.99 EUR";"https://www.gravis.de/p/1/tonies-hoerfigur-kleiner-eisbaer-lars-lass-mich-nicht-allein-fuer-toniebox_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Audio-und-Video/Tonies-Sortiment/Hoerspiel-und-Hoerbuch/Tonies-Hoerfigur-Kleiner-Eisbaer-Lars-lass-mich-nicht-allein-fuer-Toniebox-136285.html?campaign=standard";39143446;"Audio & Video > Tonies Sortiment > Hörspiel & Hörbuch";"01-0018";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000 400050";"Zubehör"
"134516";"AVM FRITZ!DECT 200, Steckdose mit interligenter Schaltung, weiß";"Mit der AVM FRITZ!DECT 200 verbinden Sie das Heimnetz auf einfache Art mit Ihrem Smart-Home. Die intelligente Steckdose trennt Ihre elektrischen Geräte vom Stromnetz, schaltet sie selbstständig wieder zu und misst deren Stromverbrauch. Gesteuert wird sie über Ihr Smartphone oder den PC und kommuniziert mit der FRITZ!Box und dem FRITZ!Fon. Intelligente Steckdose für das Heimnetz Stromzufuhr angeschlossener Geräte automatisch oder manuell regeln Individuelle Schaltung mit Kalenderfunktion";"44.99 EUR";"https://www.gravis.de/p/1/avm-fritzdect-repeater-100-erweiterung-fuer-dect-verbindungen_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Smart-Tech/Smart-Living/Strom/AVM-FRITZ-DECT-200-Steckdose-mit-interligenter-Schaltung-weiss-134516.html?campaign=standard";18297765;"Smart Tech > Smart Living > Strom";"20002572";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"200111 200112 200113 200121 200122 200124 200142 200145 200162 208116 400000 400050";"Mobile Geräte"
"134494";"Samsung Galaxy Note9, 128 GB, Dual SIM, blau";"Das Samsung Galaxy Note9 setzt neue MastÂbe. Mit dem S Pen erstmals mit Bluetooth-Verbindung und allem ausgestattet, was Sie fÂr einen mobilen Alltag benÂtigen, wird Sie das leistungsstarke Smartphone immer wieder mit durchdachten Details und zukunftsweisenden Features Âberraschen. Leistungsstarkes Smartphone mit S Pen Nahezu rahmenloses, vollflÂchiges 6,4-Display 12 Megapixel Dual-Kamera Hybrid SIM-Slot Dolby Atmos Surround-Sound Wasserfest bis 1,5 m dank Rundum-Versiegelung IP68";"999.00 EUR";"https://www.gravis.de/p/1/samsung-galaxy-note9-128-gb-dual-sim-blau_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Smartphones-und-Tablets/Samsung-Galaxy/Samsung-Galaxy-Note9/Samsung-Galaxy-Note9-128-GB-Dual-SIM-blau-134494.html?campaign=standard";28427986;"Smartphones & Tablets > Samsung Galaxy > Samsung Galaxy Note9";"SM-N960FZBDDBT";"In Kürze lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"";"Mobile Geräte"
"130461";"Philips Hue Being Deckenleuchte, für Hue Lichtsystem, WLAN, silber";"Tauchen Sie Ihr Zuhause oder BÂro mit der Philips Hue Being Deckenleuchte in eine Welt der Farbenvielfalt. Entspannen und lesen Sie bei angenehmen, warmweien Licht oder nutzen sie helleres, kÂhleres Licht um Ihre Konzentration und Energie zu steigern. Und das alles ist Âber die kostenlose Smartphone App leicht zu steuern. Sorgen Sie mit der automatischen Zeitplanfunktion fÂr Sicherheit und Komfort in Ihrem Heim oder BÂro. Steuerung und Kommunikation per WLAN Integriertes und einstellbares";"138.90 EUR";"https://www.gravis.de/p/1/philips-hue-being-deckenleuchte-fuer-hue-lichtsystem-wlan-silber_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Zubehoer/App-basierend/Beleuchtung/Philips-hue-Being-Deckenleuchte-fuer-hue-Lichtsystem-WLAN-silber-130461.html?campaign=standard";16990976;"Zubehör > App-basierend > Beleuchtung";"3261048P7";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000";"Zubehör"
"130460";"Philips Hue Being Deckenleuchte, für Hue Lichtsystem, WLAN, weiß";"Tauchen Sie Ihr Zuhause oder BÂro mit der Philips Hue Being Deckenleuchte in eine Welt der Farbenvielfalt. Entspannen und lesen Sie bei angenehmen, warmweien Licht oder nutzen sie helleres, kÂhleres Licht um Ihre Konzentration und Energie zu steigern. Und das alles ist Âber die kostenlose Smartphone App leicht zu steuern. Sorgen Sie mit der automatischen Zeitplanfunktion fÂr Sicherheit und Komfort in Ihrem Heim oder BÂro. Steuerung und Kommunikation per WLAN Integriertes und einstellbares";"138.90 EUR";"https://www.gravis.de/p/1/philips-hue-being-deckenleuchte-fuer-hue-lichtsystem-wlan-weiss_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Zubehoer/App-basierend/Beleuchtung/Philips-hue-Being-Deckenleuchte-fuer-hue-Lichtsystem-WLAN-weiss-130460.html?campaign=standard";16990976;"Zubehör > App-basierend > Beleuchtung";"3261031P7";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000";"Zubehör"
"130459";"Philips Hue Being Deckenleuchte, für Hue Lichtsystem, WLAN, schwarz";"Tauchen Sie Ihr Zuhause oder BÂro mit der Philips Hue Being Deckenleuchte in eine Welt der Farbenvielfalt. Entspannen und lesen Sie bei angenehmen, warmweien Licht oder nutzen sie helleres, kÂhleres Licht um Ihre Konzentration und Energie zu steigern. Und das alles ist Âber die kostenlose Smartphone App leicht zu steuern. Sorgen Sie mit der automatischen Zeitplanfunktion fÂr Sicherheit und Komfort in Ihrem Heim oder BÂro. Steuerung und Kommunikation per WLAN Integriertes und einstellbares";"138.90 EUR";"https://www.gravis.de/p/1/philips-hue-being-deckenleuchte-fuer-hue-lichtsystem-wlan-schwarz_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Zubehoer/App-basierend/Beleuchtung/Philips-hue-Being-Deckenleuchte-fuer-hue-Lichtsystem-WLAN-schwarz-130459.html?campaign=standard";16990976;"Zubehör > App-basierend > Beleuchtung";"3261030P7";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000";"Zubehör"
"135509";"Apple iPad Pro 11´´, mit WiFi & Cellular, 512 GB, silber";"Das neue 11 iPad Pro hat ein fortschrittliches Liquid Retina Display, das von Rand zu Rand geht.1 Face ID. A12X Bionic ââ den smartesten, leistungsfÂhigsten Chip, den Apple je entwickelt hat. Und es unterstÂtzt den neuen Apple Pencil und das Smart Keyboard Folio.2 Es ist das revolutionÂrste iPad seit dem iPad. 11 All-Screen Liquid Retina Display 27,96 cm Diagonale mit ProMotion, True Tone und groem Farbraum A12X Bionic Chip mit Neural Engine Face ID zur sicheren Authentifizierung 12 Megapixel";"1359.00 EUR";"https://www.gravis.de/p/1/apple-ipad-pro-1126quot-mit-wifi-26amp-cellular-512-gb-silber_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Smartphones-und-Tablets/Apple-iPad-Pro/Apple-iPad-Pro-11-Zoll-mit-WiFi-und-Cellular/Apple-iPad-Pro-11-Zoll-mit-WiFi-und-Cellular-512-GB-silber-135509.html?campaign=standard";29040308;"Smartphones & Tablets > Apple iPad Pro > Apple iPad Pro 11\´´ mit WiFi & Cellular";"MU1M2FD/A";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000 400050";"Mobile Geräte"
"136333";"Tonies Hörfigur, Rabe Socke, Alles Schule!, für Toniebox";"Tonies revolutioniert das HÂrspiel und bringt mit jeder neuen HÂrfigur eine neue tolle Geschichte, Lieder zum Mitsingen, klassische MÂrchen oder spannende Wissensthemen ins Kinderzimmer. Einfach die Tonie Figur Rabe Socke auf die vorhandene Toniebox stellen und loshÂren. HÂrspiel-Tonie Rabe Socke Erfordert eine Toniebox Figur fÂr Kinder ab 3 Jahren HÂrspiele zum AnfassenTonies ist ein Audiosystem fÂr Kinder, das Geschichten und Lieder anfassbar macht. Das HerzstÂck des Systems ist die";"14.99 EUR";"https://www.gravis.de/p/1/tonies-hoerfigur-rabe-socke-alles-schule-fuer-toniebox_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Audio-und-Video/Tonies-Sortiment/Hoerspiel-und-Hoerbuch/Tonies-Hoerfigur-Rabe-Socke-Alles-Schule-fuer-Toniebox-136333.html?campaign=standard";39143446;"Audio & Video > Tonies Sortiment > Hörspiel & Hörbuch";"01-0110";"Sofort lieferbar";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"400000";"Zubehör"
"130016";"Artwizz SmartJacket, Schutzhülle mit Deckel für iPhone 7/8, schwarz";"Mehr als nur eine Hülle! Das SmartJacket von Artwizz beweist nicht nur Stil, sondern auch allseitigen Schutz und optimierte Griffigkeit für Ihr iPhone 7 und iPhone 8. Schützt die Vorder- und Rückseite Ihres iPhone 7/8 vor Stürzen und Stößen Besondere Leichtigkeit Schnelles und unkompliziertes Wegklappen des Frontcovers Schutz von allen Seiten Jeder kennt es die Angst davor, das iPhone herunterfallen zu lassen. Seien Sie beruhigter mit der SmartJacket Schutzhülle von Artwizz. Sie schützt Front";"26.99 EUR";"https://www.gravis.de/p/1/artwizz-smartjacket-schutzhuelle-mit-deckel-fuer-iphone-7-schwarz_p1.jpg";"https://partners.webmasterplan.com/click.asp?ref=724933&site=7075&type=text&tnb=15&diurl=https://www.gravis.de/Taschen-und-Huellen/fuer-Apple-iPhone/fuer-iPhone-8/Artwizz-SmartJacket-Schutzhuelle-mit-Deckel-fuer-iPhone-7-8-schwarz-130016.html?campaign=standard";23061058;"Taschen & Hüllen > für Apple iPhone > für iPhone 8";"1149-1864";"";"Versandkosten bei Zahlung per Vorkasse, Nachnahme, PayPal oder Kreditkarte.";"200123 200144 200158 200168";"Zubehör"
